6159,OBJECT,MISSION_TIME,PACKET_CNT,ALTITUDE,PRESSURE,SPEED,TEMP,VOLTAGE,HEADING,SOFTWARE_STATE
6159,CONTAINER,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
6159,CONTAINER,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
6159,CONTAINER,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
6159,CONTAINER,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
6159,CONTAINER,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
6159,CONTAINER,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
6159,CONTAINER,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
6159,CONTAINER,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
6159,CONTAINER,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
6159,CONTAINER,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
6159,CONTAINER,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
6159,CONTAINER,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
6159,CONTAINER,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
6159,CONTAINER,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
6159,CONTAINER,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
6159,CONTAINER,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
6159,CONTAINER,6,1,0.1,0.0,0.0,25.0,0.1,0.0,1
6159,CONTAINER,7,2,0.0,0.0,0.0,25.0,0.09,0.0,1
6159,CONTAINER,8,3,-0.5,0.0,0.0,25.0,0.09,0.0,1
6159,CONTAINER,9,4,0.2,0.0,0.0,25.0,0.09,0.0,1
6159,CONTAINER,10,5,-0.0,0.0,0.0,25.0,0.09,0.0,1
6159,CONTAINER,11,6,-0.7,0.0,0.0,25.0,0.1,0.0,1
6159,CONTAINER,11,6,-0.7,0.0,0.0,25.0,0.1,0.0,1
6159,CONTAINER,11,6,-0.7,0.0,0.0,25.0,0.1,0.0,1
6159,CONTAINER,11,6,-0.7,0.0,0.0,25.0,0.1,0.0,1
6159,CONTAINER,11,6,-0.7,0.0,0.0,25.0,0.1,0.0,1
6159,CONTAINER,11,6,-0.7,0.0,0.0,25.0,0.1,0.0,1
6159,CONTAINER,11,6,-0.7,0.0,0.0,25.0,0.1,0.0,1
6159,CONTAINER,11,6,-0.7,0.0,0.0,25.0,0.1,0.0,1
6159,CONTAINER,11,6,-0.7,0.0,0.0,25.0,0.1,0.0,1
6159,CONTAINER,11,6,-0.7,0.0,0.0,25.0,0.1,0.0,1
6159,CONTAINER,11,6,-0.7,0.0,0.0,25.0,0.1,0.0,1
6159,CONTAINER,11,6,-0.7,0.0,0.0,25.0,0.1,0.0,1
6159,CONTAINER,11,6,-0.7,0.0,0.0,25.0,0.1,0.0,1
6159,CONTAINER,11,6,-0.7,0.0,0.0,25.0,0.1,0.0,1
6159,CONTAINER,11,6,-0.7,0.0,0.0,25.0,0.1,0.0,1
6159,CONTAINER,11,6,-0.7,0.0,0.0,25.0,0.1,0.0,1
6159,CONTAINER,11,6,-0.7,0.0,0.0,25.0,0.1,0.0,1
6159,CONTAINER,11,6,-0.7,0.0,0.0,25.0,0.1,0.0,1
